id,nombre,nombre_corto,bloque,tipo,id_padre,padre,nivel,fundamento,fuente_codigo,fuente_nombre,fuente_url,fuente_fecha,verificado,cobertura,titular,titular_fuente_url,titular_fecha_verificacion,fecha_verificacion,notas
exec-root,Poder Ejecutivo de la Unión,Poder Ejecutivo,Poder Ejecutivo,Poder,,Estado mexicano,1,CPEUM arts. 49,CPEUM,Constitución Política de los Estados Unidos Mexicanos,https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf,2026-03-03,Sí,Registro base verificado,,,,2026-09-25,
apf-central,Administración Pública Federal Centralizada,APF Centralizada,Poder Ejecutivo,Rama administrativa,exec-root,Poder Ejecutivo de la Unión,2,LOAPF arts. 1 y 2,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Registro base verificado,,,,2026-09-25,
presidencia,Oficina de la Presidencia de la República,Presidencia,Poder Ejecutivo,Órgano superior,apf-central,Administración Pública Federal Centralizada,3,LOAPF arts. 1 y 8,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Registro base verificado,,,,2026-09-25,
cjer,Consejería Jurídica del Ejecutivo Federal,CJEF,Poder Ejecutivo,Dependencia centralizada,apf-central,Administración Pública Federal Centralizada,3,"LOAPF arts. 1, 2 y 4",LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Registro base verificado,,,,2026-09-25,
sec-0,Secretaría de Gobernación,SEGOB,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,
sec-1,Secretaría de Relaciones Exteriores,SRE,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,
sec-2,Secretaría de la Defensa Nacional,Defensa,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,
sec-3,Secretaría de Marina,Marina,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,
sec-4,Secretaría de Seguridad y Protección Ciudadana,SSPC,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,
sec-5,Secretaría de Hacienda y Crédito Público,SHCP,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,
